MacAddress,Company
40:B9:3C,Hewlett Packard Enterprise
00:16:4A,Vibration Technology Limited
74:5D:22,LCFC(HeFei) Electronics Technology co.
00:06:9B,AVT Audio Video Technologies GmbH
34:99:71,Quanta Storage Inc.
00:50:C2:8E:C,Balfour Beatty Rail GmbH
CC:37:AB,Edgecore Networks Corporation
00:08:9D,UHD-Elektronik
00:0A:7B,Cornelius Consult
00:25:B2,MBDA Deutschland GmbH
E4:A7:A0,Intel Corporate
AC:1D:DF:C,Beijing Chunhong Technology Co.
6C:15:24:8,ShenZhen Chainway Information Technology Co.
58:11:22,ASUSTek COMPUTER INC.
70:B3:D5:2F:8,Tunstall AS
00:08:DA,SofaWare Technologies Ltd.
8C:1F:64:7B:B,Kotsu Dengyosha Co.
40:D8:55:02:1,SMT D.O.O.
38:77:CD,KOKUSAI ELECTRIC CORPORATION
A0:63:91,NETGEAR
8C:6D:50,SHENZHEN MTC CO LTD
94:E4:BA,Huawei Device Co.
00:1D:D9,Hon Hai Precision Ind. Co.
30:D9:59,Shanghai Longcheer Technology Co.
00:40:6A,KENTEK INFORMATION SYSTEMS
74:EE:8D,Apollo Intelligent Connectivity (Beijing) Technology Co.
A4:33:D1,Fibrlink Communications Co.
84:E0:F4:4,PetroInTrade
00:50:82,FORESSON CORPORATION
9C:01:11,Shenzhen Newabel Electronic Co.
8C:1F:64:2F:A,RFENGINE CO.
84:A2:4D,Birds Eye Systems Private Limited
E0:E2:58,Intel Corporate
E8:4C:4A,Amazon Technologies Inc.
6C:2F:2C,Samsung Electronics Co.
94:DB:56,Sony Home EntertainmentSound Products Inc
70:B3:D5:54:1,Nanjing Pingguang Electronic Technology Co.
58:95:D8:8,Shenzhen C  D Electronics Co.
00:50:C2:70:5,Hauch  Bach ApS
00:1A:5A,Korea Electric Power Data Network  (KDN) Co.
20:D2:76,ITEL MOBILE LIMITED
00:1F:E5,In-Circuit GmbH
CC:22:37:C,Hebei ZHSF Technology Co.
70:B3:D5:FA:5,Shenzhen Hui Rui Tianyan Technology Co.
70:B3:D5:E0:A,Acouva
FC:A2:DF:9,Beijing KSL Electromechanical Technology Development Co.
18:E8:3B,Citadel Wallet LLC
00:30:7A,Advanced Technology  Systems
4C:FA:CA,Cambridge Industries(Group) Co.
00:50:C2:C5:D,SweMet AB
00:50:C2:2F:A,Tornado Modular Systems
00:80:90,MICROTEK INTERNATIONAL
00:50:C2:64:9,Pan-STARRS
7C:FE:90,Mellanox Technologies
BC:9A:53,Huawei Device Co.
8C:1F:64:9F:5,YUYAMA MFG Co.
00:50:C2:20:5,SystIng
BC:54:F9,Drogoo Technology Co.
00:0C:3D,Glsystech Co.
10:F4:9A,T3 Innovation
00:FC:70,Intrepid Control Systems
