MacAddress,Company
00:F5:FD,HUAWEI TECHNOLOGIES CO.
1C:AE:3E:A,Beijing SuperCloud Technology Co.
E4:04:39,TomTom Software Ltd
88:97:65,exands
70:B3:D5:52:8,Aplex Technology Inc.
BC:97:40:2,Lattec IS
00:01:EA,Cirilium Corp.
7C:FA:DF,Apple
8C:1F:64:6E:2,SCU Co.
84:AF:1F,Beat System Service Co
8C:C8:F4:5,Beijing KXWELL Technology CO.
94:79:18,ITEL MOBILE LIMITED
04:E5:98,Xiaomi Communications Co Ltd
08:7F:98,vivo Mobile Communication Co.
8C:1F:64:B9:1,CLEALINK TECHNOLOGY
D4:2F:CA,Apple
00:A0:0A,Airspan
FC:E2:3F,CLAY PAKY SPA
0C:B9:37,Ubee Interactive Co.
44:2B:03,Cisco Systems
B8:14:5C,Huawei Device Co.
88:E7:A6,iKnowledge Integration Corp.
90:47:3C,China Mobile Group Device Co.
70:B3:D5:F3:1,The-Box Development
00:0A:C8,ZPSYS CO.
8C:1F:64:B8:E,Revert Technologies
00:16:8F,GN Netcom AS
9C:22:0E,TASCAN Systems GmbH
84:B3:86:B,Sineng electric CO.
8C:86:DD,TP-Link Systems Inc.
00:0D:83,Sanmina-SCI Hungary  Ltd.
8C:1F:64:F8:C,BK LAB
F4:FC:B1,JJ Corp
3A:BA:37,Cirrent
A4:93:4C,Cisco Systems
28:B7:7C:D,Enedo Finland Oy
00:12:D2,Texas Instruments
78:39:2D,IEEE Registration Authority
00:C0:05,LIVINGSTON ENTERPRISES
00:24:02,Op-Tection GmbH
70:B3:D5:D1:6,Monnit Corporation
70:B3:D5:04:7,OOO ORION-R
A0:65:18,VNPT TECHNOLOGY
30:96:10,Huawei Device Co.
8C:1F:64:13:3,Vtron Pty Ltd
B8:8A:60,Intel Corporate
38:73:EA,IEEE Registration Authority
8C:1F:64:F4:6,Broadcast Tools
54:16:51,Ruijie Networks Co.
A0:28:33,IEEE Registration Authority
78:96:A3,Extreme Networks
8C:1F:64:A9:7,Integer.pl S.A.
98:06:37:4,Chengdu Shuwei Communication Technology Co.
00:0A:7B,Cornelius Consult
F0:ED:19,zte corporation
48:A9:8A,Routerboard.com
8C:C5:B4,Sagemcom Broadband SAS
1C:11:E1,Wartsila Finland Oy
FC:A4:7A:C,Shenzhen ALFEYE Technology CO.
00:1B:C5:04:7,PT. Amanindo Nusapadu
0C:47:A9:9,Shanghai Sigen New Energy Technology Co.
5C:48:42,Hangzhou Anysoft Information Technology Co. 
00:50:C2:D3:A,WellSense Technologies
10:7C:61,ASUSTek COMPUTER INC.
00:50:C2:E8:2,Xplore Technologies Corp
00:22:68,Hon Hai Precision Ind. Co.
60:FA:CD,Apple
00:18:1E,GDX Technologies Ltd.
70:B3:D5:EC:3,Virtual Control Systems Ltd
00:50:C2:5F:3,POSNET Polska S.A.
00:0A:94,ShangHai cellink CO.
A0:F3:E4,Alcatel-Lucent IPD
00:50:C2:4E:B,Mandozzi Elettronica SA
C0:8A:DE,Ruckus Wireless
F4:4D:AD,Cable Matters Inc.
80:6D:97,Private
00:26:57,OOO NPP EKRA
00:16:90,J-TEK INCORPORATION
00:50:C2:93:9,Mosaic Dynamic Solutions
70:3C:03,RadiAnt Co.
00:50:C2:70:3,SAE IT-systems GmbH  Co. KG
00:0F:D9,FlexDSL Telecommunications AG
00:01:4B,Ennovate Networks
84:3A:5B,Inventec(Chongqing) Corporation
DC:DF:D6,zte corporation
8C:1F:64:76:4,nanoTRONIX Computing Inc.
C0:F2:FB,Apple
00:30:39,SOFTBOOK PRESS
1C:20:DB,HUAWEI TECHNOLOGIES CO.
00:50:C2:07:5,ENTTEC Pty Ltd.
90:7A:28,Beijing Morncloud Information And Technology Co. Ltd.
B0:38:29,Siliconware Precision Industries Co.
00:50:C2:ED:B,BELIK S.P.R.L.
8C:25:05,HUAWEI TECHNOLOGIES CO.
00:1E:34,CryptoMetrics
